Data successfully loaded.
Epoch: [57/1000], Batch: [10/29], Loss: 2.0240, Acc: 9.5703125%
Epoch: [57/1000], Batch: [20/29], Loss: 2.0416, Acc: 8.7890625%
Epoch: [58/1000], Batch: [0/29], Loss: 2.0322, Acc: 10.7421875%
Epoch: [58/1000], Batch: [10/29], Loss: 2.0238, Acc: 9.5703125%
Epoch: [58/1000], Batch: [20/29], Loss: 2.0414, Acc: 8.7890625%
Epoch: [59/1000], Batch: [0/29], Loss: 2.0319, Acc: 10.7421875%
Epoch: [59/1000], Batch: [10/29], Loss: 2.0237, Acc: 9.5703125%
Epoch: [59/1000], Batch: [20/29], Loss: 2.0412, Acc: 8.7890625%
Epoch: [60/1000], Batch: [0/29], Loss: 2.0317, Acc: 10.7421875%
Epoch: [60/1000], Batch: [10/29], Loss: 2.0236, Acc: 9.5703125%
Epoch: [60/1000], Batch: [20/29], Loss: 2.0410, Acc: 8.7890625%
Epoch: [61/1000], Batch: [0/29], Loss: 2.0314, Acc: 10.7421875%
Epoch: [61/1000], Batch: [10/29], Loss: 2.0235, Acc: 9.5703125%
Epoch: [61/1000], Batch: [20/29], Loss: 2.0408, Acc: 8.7890625%
Epoch: [62/1000], Batch: [0/29], Loss: 2.0312, Acc: 10.7421875%
Epoch: [62/1000], Batch: [10/29], Loss: 2.0233, Acc: 9.5703125%
Epoch: [62/1000], Batch: [20/29], Loss: 2.0406, Acc: 8.7890625%
Epoch: [63/1000], Batch: [0/29], Loss: 2.0310, Acc: 10.7421875%
Epoch: [63/1000], Batch: [10/29], Loss: 2.0232, Acc: 9.5703125%
Epoch: [63/1000], Batch: [20/29], Loss: 2.0404, Acc: 8.7890625%
Epoch: [64/1000], Batch: [0/29], Loss: 2.0308, Acc: 10.7421875%
Epoch: [64/1000], Batch: [10/29], Loss: 2.0231, Acc: 9.5703125%
Epoch: [64/1000], Batch: [20/29], Loss: 2.0402, Acc: 8.7890625%
Epoch: [65/1000], Batch: [0/29], Loss: 2.0306, Acc: 10.7421875%
Epoch: [65/1000], Batch: [10/29], Loss: 2.0230, Acc: 9.5703125%
Epoch: [65/1000], Batch: [20/29], Loss: 2.0400, Acc: 8.7890625%
Epoch: [66/1000], Batch: [0/29], Loss: 2.0303, Acc: 10.7421875%
Epoch: [66/1000], Batch: [10/29], Loss: 2.0228, Acc: 9.5703125%
Epoch: [66/1000], Batch: [20/29], Loss: 2.0399, Acc: 8.7890625%
Epoch: [67/1000], Batch: [0/29], Loss: 2.0301, Acc: 10.7421875%
Epoch: [67/1000], Batch: [10/29], Loss: 2.0227, Acc: 9.5703125%
Epoch: [67/1000], Batch: [20/29], Loss: 2.0397, Acc: 8.7890625%
Epoch: [68/1000], Batch: [0/29], Loss: 2.0299, Acc: 10.7421875%
Epoch: [68/1000], Batch: [10/29], Loss: 2.0226, Acc: 9.5703125%
Epoch: [68/1000], Batch: [20/29], Loss: 2.0395, Acc: 8.7890625%
Epoch: [69/1000], Batch: [0/29], Loss: 2.0297, Acc: 10.7421875%
Epoch: [69/1000], Batch: [10/29], Loss: 2.0225, Acc: 9.5703125%
Epoch: [69/1000], Batch: [20/29], Loss: 2.0393, Acc: 8.7890625%
Epoch: [70/1000], Batch: [0/29], Loss: 2.0295, Acc: 10.7421875%
Epoch: [70/1000], Batch: [10/29], Loss: 2.0223, Acc: 9.5703125%
Epoch: [70/1000], Batch: [20/29], Loss: 2.0392, Acc: 8.7890625%
Epoch: [71/1000], Batch: [0/29], Loss: 2.0293, Acc: 10.7421875%
Epoch: [71/1000], Batch: [10/29], Loss: 2.0222, Acc: 9.5703125%
Epoch: [71/1000], Batch: [20/29], Loss: 2.0390, Acc: 8.7890625%
Epoch: [72/1000], Batch: [0/29], Loss: 2.0292, Acc: 10.7421875%
Epoch: [72/1000], Batch: [10/29], Loss: 2.0221, Acc: 9.5703125%
Epoch: [72/1000], Batch: [20/29], Loss: 2.0389, Acc: 8.7890625%
Epoch: [73/1000], Batch: [0/29], Loss: 2.0290, Acc: 10.7421875%
Epoch: [73/1000], Batch: [10/29], Loss: 2.0219, Acc: 9.5703125%
Epoch: [73/1000], Batch: [20/29], Loss: 2.0387, Acc: 8.7890625%
Epoch: [74/1000], Batch: [0/29], Loss: 2.0288, Acc: 10.7421875%
Epoch: [74/1000], Batch: [10/29], Loss: 2.0218, Acc: 9.5703125%
Epoch: [74/1000], Batch: [20/29], Loss: 2.0385, Acc: 8.7890625%
Epoch: [75/1000], Batch: [0/29], Loss: 2.0286, Acc: 10.7421875%
Epoch: [75/1000], Batch: [10/29], Loss: 2.0217, Acc: 9.5703125%
Epoch: [75/1000], Batch: [20/29], Loss: 2.0384, Acc: 8.7890625%
Epoch: [76/1000], Batch: [0/29], Loss: 2.0284, Acc: 10.7421875%
Epoch: [76/1000], Batch: [10/29], Loss: 2.0216, Acc: 9.5703125%
Epoch: [76/1000], Batch: [20/29], Loss: 2.0382, Acc: 8.7890625%
Epoch: [77/1000], Batch: [0/29], Loss: 2.0283, Acc: 10.7421875%
Epoch: [77/1000], Batch: [10/29], Loss: 2.0214, Acc: 9.5703125%
Epoch: [77/1000], Batch: [20/29], Loss: 2.0381, Acc: 8.7890625%
Epoch: [78/1000], Batch: [0/29], Loss: 2.0281, Acc: 10.7421875%
Epoch: [78/1000], Batch: [10/29], Loss: 2.0213, Acc: 9.5703125%
Epoch: [78/1000], Batch: [20/29], Loss: 2.0379, Acc: 8.7890625%
Epoch: [79/1000], Batch: [0/29], Loss: 2.0280, Acc: 10.7421875%
Epoch: [79/1000], Batch: [10/29], Loss: 2.0212, Acc: 9.5703125%
Epoch: [79/1000], Batch: [20/29], Loss: 2.0378, Acc: 8.7890625%
Epoch: [80/1000], Batch: [0/29], Loss: 2.0278, Acc: 10.7421875%
Epoch: [80/1000], Batch: [10/29], Loss: 2.0210, Acc: 9.5703125%
Epoch: [80/1000], Batch: [20/29], Loss: 2.0377, Acc: 8.7890625%
Epoch: [81/1000], Batch: [0/29], Loss: 2.0276, Acc: 10.7421875%
Epoch: [81/1000], Batch: [10/29], Loss: 2.0209, Acc: 9.5703125%
Epoch: [81/1000], Batch: [20/29], Loss: 2.0375, Acc: 8.7890625%
Epoch: [82/1000], Batch: [0/29], Loss: 2.0275, Acc: 10.7421875%
Epoch: [82/1000], Batch: [10/29], Loss: 2.0208, Acc: 9.5703125%
Epoch: [82/1000], Batch: [20/29], Loss: 2.0374, Acc: 8.7890625%
Epoch: [83/1000], Batch: [0/29], Loss: 2.0273, Acc: 10.7421875%
Epoch: [83/1000], Batch: [10/29], Loss: 2.0207, Acc: 9.5703125%
Epoch: [83/1000], Batch: [20/29], Loss: 2.0372, Acc: 8.7890625%
Epoch: [84/1000], Batch: [0/29], Loss: 2.0272, Acc: 10.7421875%
Epoch: [84/1000], Batch: [10/29], Loss: 2.0205, Acc: 9.5703125%
Epoch: [84/1000], Batch: [20/29], Loss: 2.0371, Acc: 8.7890625%
Epoch: [85/1000], Batch: [0/29], Loss: 2.0271, Acc: 10.7421875%
Epoch: [85/1000], Batch: [10/29], Loss: 2.0204, Acc: 9.5703125%
Epoch: [85/1000], Batch: [20/29], Loss: 2.0370, Acc: 8.7890625%
Epoch: [86/1000], Batch: [0/29], Loss: 2.0269, Acc: 10.7421875%
Epoch: [86/1000], Batch: [10/29], Loss: 2.0203, Acc: 9.5703125%
Epoch: [86/1000], Batch: [20/29], Loss: 2.0369, Acc: 8.7890625%
Epoch: [87/1000], Batch: [0/29], Loss: 2.0268, Acc: 10.7421875%
Epoch: [87/1000], Batch: [10/29], Loss: 2.0202, Acc: 9.5703125%
Epoch: [87/1000], Batch: [20/29], Loss: 2.0367, Acc: 8.7890625%
Epoch: [88/1000], Batch: [0/29], Loss: 2.0266, Acc: 10.7421875%
Epoch: [88/1000], Batch: [10/29], Loss: 2.0200, Acc: 9.5703125%
